Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
ADGRL4	ELTD1	NM_022159	64123
ADGRV1	USH2C, MASS1, GPR98	NM_032119	84059
ADH1A	ADH1	NM_000667	124
ADH1B	ADH2	NM_000668	125
ADH1C	ADH3	NM_000669	126
ADH4		NM_000670	127
ADH5	FDH	NM_000671	128
ADH5P1			
ADH5P2			343296
ADH5P3			100131810
ADH5P4	ADH5B	XM_208352	642443
ADH6		NM_000672	130
ADH7		NM_000673	131
ADHFE1		NM_144650	137872
ADI1		NM_018269	55256
ADI1P1			100130936
ADI1P2			100288971
ADI1P3			100288129
ADIG		NM_001018082	149685
ADIPOQ	ACDC	NM_004797	9370
ADIPOQ-AS1		NR_046662	100874095
ADIPOR1		NM_015999	51094
ADIPOR1P1		NG_022165	645220
ADIPOR1P2		NG_022863	390503
ADIPOR2		NM_024551	79602
ADIR			
ADIRF	C10orf116	NM_006829	10974
ADIRF-AS1			100133190
ADK		NM_006721	132
ADL			
ADM		NM_001124	133
ADM2		NM_024866	79924
ADM5	C19orf76	NM_001101340	199800
ADMLX			
ADMLY			
ADNP		NM_181442	23394
ADNP-AS1		NR_110009	101927631
ADNP2	ZNF508	NM_014913	22850
ADO	C10orf22	NM_032804	84890
ADORA1		NM_000674	134
ADORA2A	ADORA2	NM_000675	135
ADORA2A-AS1	C22orf45	NR_028483	646023
ADORA2B			136
ADORA2BP1	ADORA2BP	NG_000843	137
ADORA2L1	ADORA2L		
ADORA2L2			
ADORA3		NM_000677, NM_020683	140
ADPGK		NM_031284	83440
ADPGK-AS1		NR_040107	100287559
ADPRH		NM_001125	141
ADPRHL1		NM_138430	113622
ADPRHL2		NM_017825	54936
ADPRM	C17orf48	NM_020233	56985
ADRA1A	ADRA1C	NM_033303	148
ADRA1B			147
ADRA1C			
ADRA1D		NM_000678	146
ADRA2A	ADRA2, ADRA2R	NM_000681	150
ADRA2B	ADRA2L1, ADRA2RL1		151
ADRA2C	ADRA2L2, ADRA2RL2	NM_000683	152
ADRA2L1			
ADRB1	ADRB1R		153
ADRB2	ADRB2R	NM_000024	154
ADRB2RL1			
ADRB3		NM_000025	155
ADRM1			11047
ADSL		NM_000026	158
ADSS1	ADSSL1		122622
ADSS2	ADSS	NM_001126	159
ADT			
ADTAA			
ADTAB			
ADTB1			
ADTB2			
ADTG			
ADTRP	C6orf105	NM_032744	84830
AE1			
AE2			
AEBP1		NM_001129	165
AEBP2		NM_153207	121536
AEMK			
AEN	ISG20L1	NM_022767	64782
AEPLC			
AEZ			
AF8T			169
AFA			170
AFAP1		NM_021638	60312
AFAP1-AS1	AFAP1AS, AFAP1-AS	NR_026892	84740
AFAP1L1		NM_152406	134265
AFAP1L2	KIAA1914	NM_032550	84632
AFCP			
AFD1			171
AFDN	MLLT4	NM_005936	4301
AFDN-DT	C6orf124, MLLT4-AS1, AFDN-AS1	NR_027906	653483
AFF1	PBM1, MLLT2	NM_005935	4299
